_id,ID,Garment Layer,Colour,Keywords
5e5ef81be44d412c544b30bf,30,FALSE,gainsboro,
5e5ef81be44d412c544b30c2,33,4,lavender,
5e5ef81be44d412c544b30d3,50,TRUE,black,
5e5ef81be44d412c544b30de,61,TRUE,lightgray,
5e5ef81be44d412c544b30a4,3,4,whitesmoke,
5e5ef81be44d412c544b30ad,12,2,whitesmoke,
5e5ef81be44d412c544b30a8,7,TRUE,lightpink,
5e5ef81be44d412c544b30ab,10,TRUE,pink,
5e5ef81be44d412c544b30ac,11,3,snow,
5e5ef81be44d412c544b30b2,17,FALSE,black,
5e5ef81be44d412c544b30c3,34,3,slategray,
5e5ef81be44d412c544b30c9,40,TRUE,darkslategray,
5e5ef81be44d412c544b30d2,49,TRUE,darkslateblue,
5e5ef81be44d412c544b30d6,53,TRUE,darkslategray,
5e5ef81be44d412c544b30da,57,TRUE,whitesmoke,
5e5ef81be44d412c544b30cc,43,TRUE,slategray,
5e5ef81be44d412c544b30d5,52,4,darkslategray,
5e5ef81be44d412c544b30b1,16,5,gainsboro,
5e5ef81be44d412c544b30bd,28,2,gainsboro,
5e5ef81be44d412c544b30c0,31,2,lightcoral,
5e5ef81be44d412c544b30dc,59,FALSE,gainsboro,
5e5ef81be44d412c544b30a6,5,3,lightpink,
5e5ef81be44d412c544b30a9,8,TRUE,tan,
5e5ef81be44d412c544b30e1,64,FALSE,linen,
5e5ef81be44d412c544b30a3,2,TRUE,darkslategray,
5e5ef81be44d412c544b30be,29,TRUE,palevioletred,
5e5ef81be44d412c544b30aa,9,4,darkslategray,
5e5ef81be44d412c544b30c1,32,FALSE,lightgray,
5e5ef81be44d412c544b30c7,38,FALSE,navajowhite,
5e5ef81be44d412c544b30cb,42,2,lavender,
5e5ef81be44d412c544b30dd,60,Garment Layer,darkslategray,
5e5ef81be44d412c544b30c5,36,Garment Layer,darkslategray,
5e5ef81be44d412c544b30ae,13,Garment Layer,brown,
5e5ef81be44d412c544b30af,14,Garment Layer,lightgray,
5e5ef81be44d412c544b30c4,35,Garment Layer,tan,
5e5ef81be44d412c544b30ce,45,Garment Layer,black,
5e5ef81be44d412c544b30b5,20,Garment Layer,firebrick,
5e5ef81be44d412c544b30d4,51,Garment Layer,darkslategray,
5e5ef81be44d412c544b30c8,39,Garment Layer,black,
5e5ef81be44d412c544b30cf,46,Garment Layer,lavender,
5e5ef81be44d412c544b30d7,54,Garment Layer,lightskyblue,
5e5ef81be44d412c544b30d9,56,Garment Layer,chocolate,
5e5ef81be44d412c544b30b0,15,Garment Layer,black,
5e5ef81be44d412c544b30a7,6,FALSE,black,
5e5ef81be44d412c544b30bb,26,Garment Layer,darkslategray,
5e5ef81be44d412c544b30d8,55,Garment Layer,whitesmoke,
5e5ef81be44d412c544b30b4,19,Garment Layer,rosybrown,
5e5ef81be44d412c544b30b8,23,Garment Layer,lightslategray,
5e5ef81be44d412c544b30b9,24,Garment Layer,burlywood,
5e5ef81be44d412c544b30d0,47,Garment Layer,sienna,
5e5ef81be44d412c544b30db,58,Garment Layer,khaki,
5e5ef81be44d412c544b30df,62,Garment Layer,gray,
5e5ef81be44d412c544b30a2,TRUE,TRUE,whitesmoke,
5e5ef81be44d412c544b30b7,22,Garment Layer,thistle,
5e5ef81be44d412c544b30a5,4,TRUE,darkslateblue,
5e5ef81be44d412c544b30b3,18,Garment Layer,purple,
5e5ef81be44d412c544b30e0,63,Garment Layer,silver,
5e5ef81be44d412c544b30bc,27,Garment Layer,darkslategray,
5e5ef81be44d412c544b30c6,37,Garment Layer,gainsboro,
5e5ef81be44d412c544b30cd,44,Garment Layer,gainsboro,
5e5ef81be44d412c544b30d1,48,Garment Layer,darksalmon,
5e5ef81be44d412c544b30b6,21,Garment Layer,peru,
5e5ef81be44d412c544b30ba,25,Garment Layer,lightsteelblue,
5e5ef81be44d412c544b30ca,41,Garment Layer,black,
5e5ef81be44d412c544b30f0,79,Garment Layer,peru,
5e5ef81be44d412c544b3111,112,Garment Layer,lightgray,
5e5ef81be44d412c544b3115,116,Garment Layer,darkslategray,
5e5ef81be44d412c544b3119,120,Garment Layer,burlywood,
5e5ef81be44d412c544b3147,166,Garment Layer,linen,
5e5ef81be44d412c544b315f,190,Garment Layer,lightslategray,
5e5ef81be44d412c544b316a,201,Garment Layer,crimson,
5e5ef81be44d412c544b316e,205,Garment Layer,black,
5e5ef81be44d412c544b3182,225,Garment Layer,palevioletred,
5e5ef81be44d412c544b3187,230,Garment Layer,darkslategray,
5e5ef81be44d412c544b31a6,261,Garment Layer,gainsboro,
5e5ef81be44d412c544b31ab,266,Garment Layer,gainsboro,
5e5ef81be44d412c544b31b5,276,Garment Layer,tan,
5e5ef81be44d412c544b31ca,297,Garment Layer,whitesmoke,
5e5ef81be44d412c544b31d9,312,Garment Layer,darkslategray,
5e5ef81be44d412c544b30f4,83,Garment Layer,khaki,
5e5ef81be44d412c544b30f5,84,Garment Layer,black,
5e5ef81be44d412c544b3107,102,Garment Layer,tan,
5e5ef81be44d412c544b3110,111,Garment Layer,gainsboro,
